Date,Open,High,Low,Close,Adj Close,Volume
2013-01-02,74.529999,75.150002,74.500000,75.139999,63.542343,5037200
2013-01-03,75.120003,75.370003,74.839996,75.029999,63.449295,2634600
2013-01-04,75.139999,75.519997,74.989998,75.410004,63.770638,2512900
2013-01-07,75.180000,75.279999,74.949997,75.209999,63.601524,2511200
2013-01-08,75.110001,75.180000,74.699997,75.010002,63.432388,1407900
2013-01-09,75.190002,75.410004,75.110001,75.239998,63.626896,1421900
2013-01-10,75.620003,75.769997,75.220001,75.760002,64.066628,1403700
2013-01-11,75.760002,75.800003,75.510002,75.769997,64.075081,1248500
2013-01-14,75.750000,75.800003,75.440002,75.690002,64.007446,2745100
2013-01-15,75.400002,75.889999,75.339996,75.830002,64.125832,1109100
2013-01-16,75.680000,75.910004,75.589996,75.769997,64.075081,1211300
2013-01-17,76.110001,76.500000,76.000000,76.290001,64.514824,1534800
2013-01-18,76.320000,76.540001,76.040001,76.500000,64.692413,2173800
2013-01-22,76.500000,76.900002,76.330002,76.900002,65.030678,3583900
2013-01-23,76.930000,77.080002,76.779999,76.989998,65.106773,2295000
2013-01-24,76.919998,77.440002,76.860001,77.080002,65.182884,5386800
2013-01-25,77.379997,77.529999,77.120003,77.510002,65.546532,2997100
2013-01-28,77.599998,77.610001,77.150002,77.440002,65.487328,1634100
2013-01-29,77.339996,77.769997,77.239998,77.699997,65.707207,2279300
2013-01-30,77.690002,77.830002,77.269997,77.389999,65.445030,2074200
2013-01-31,77.330002,77.500000,77.150002,77.250000,65.326645,2611300
2013-02-01,77.779999,78.110001,77.610001,78.000000,65.960869,2550000
2013-02-04,77.639999,77.720001,77.129997,77.180000,65.267448,2457700
2013-02-05,77.620003,78.110001,77.540001,77.910004,65.884789,1609800
2013-02-06,77.680000,78.059998,77.599998,78.050003,66.003174,1739400
2013-02-07,78.050003,78.129997,77.360001,77.910004,65.884789,2260100
2013-02-08,78.029999,78.379997,78.010002,78.379997,66.282227,4399000
2013-02-11,78.360001,78.389999,78.139999,78.339996,66.248390,2112700
2013-02-12,78.339996,78.599998,78.279999,78.470001,66.358353,1568600
2013-02-13,78.680000,78.790001,78.339996,78.580002,66.451378,1346500
2013-02-14,78.349998,78.750000,78.279999,78.680000,66.535942,1287500
2013-02-15,78.750000,78.830002,78.320000,78.589996,66.459839,1248400
2013-02-19,78.709999,79.160004,78.709999,79.139999,66.924934,1763000
2013-02-20,79.110001,79.129997,78.080002,78.089996,66.036987,2507600
2013-02-21,77.889999,77.889999,77.250000,77.559998,65.588791,2641300
2013-02-22,77.919998,78.309998,77.769997,78.309998,66.223045,1833200
2013-02-25,78.680000,78.779999,76.849998,76.870003,65.005295,1979400
2013-02-26,77.190002,77.440002,76.669998,77.360001,65.419670,2505700
2013-02-27,77.269997,78.529999,77.260002,78.309998,66.223045,1442500
2013-02-28,78.309998,78.809998,78.129997,78.239998,66.163826,1564400
2013-03-01,77.959999,78.500000,77.510002,78.419998,66.316048,1884800
2013-03-04,78.239998,78.779999,78.099998,78.779999,66.620468,1418100
2013-03-05,79.150002,79.720001,79.099998,79.570000,67.288551,1855000
2013-03-06,79.839996,79.889999,79.519997,79.690002,67.390053,2045000
2013-03-07,79.800003,79.949997,79.720001,79.879997,67.550713,1564000
2013-03-08,80.230003,80.360001,79.820000,80.269997,67.880508,1984200
2013-03-11,80.190002,80.529999,80.089996,80.500000,68.074974,1610000
2013-03-12,80.470001,80.570000,80.120003,80.360001,67.956619,1505700
2013-03-13,80.370003,80.610001,80.150002,80.510002,68.083473,1021900
